Labels,1909_LIFETIME_AAN155_EPL375_50KHz_20micro_9182ch_30min_slit2_emi502_1minAr,
Type,Time Scan,
Comment,,
Start,0.00,
Stop,19997.559000,
Step,2.4414063,
Fixed/Offset, ,
XAxis,Time(ns),
YAxis,Counts,

2001.953100,0.00000000E+0,
2004.394500,1.00000000E+0,
2006.835900,0.00000000E+0,
2009.277300,0.00000000E+0,
2011.718800,0.00000000E+0,
2014.16000,1.00000000E+0,
2016.601600,4.00000000E+0,
2019.043000,6.00000000E+0,
2021.484400,2.00000000E+0,
2023.925800,2.00000000E+0,
2026.367200,1.00000000E+0,
2028.808600,0.00000000E+0,
2031.25000,3.00000000E+0,
2033.691400,1.00000000E+0,
2036.132800,0.00000000E+0,
2038.574200,2.00000000E+0,
2041.015600,1.00000000E+0,
2043.457000,0.00000000E+0,
2045.898400,1.00000000E+0,
2048.34000,1.00000000E+0,
2050.781300,1.00000000E+0,
2053.222700,3.00000000E+0,
2055.664100,2.00000000E+0,
2058.105500,0.00000000E+0,
2060.546900,4.00000000E+0,
2062.988300,1.00000000E+0,
2065.43000,4.00000000E+0,
2067.871100,3.00000000E+0,
2070.312500,6.00000000E+0,
2072.753900,2.00000000E+0,
